"tipo","nome","creata","modificata"
"SQL_STORED_PROCEDURE","RP_View_NotificheTerzi","2022-11-22","2026-01-22"
"SQL_STORED_PROCEDURE","RP_View_Resi","2025-07-23","2025-10-17"
"SQL_STORED_PROCEDURE","RP_View_Scatola","2023-03-08","2024-06-11"
"SQL_STORED_PROCEDURE","RP_View_Spedizione","2023-02-22","2025-12-11"
"SQL_STORED_PROCEDURE","RP_View_Spedizioni","2022-09-16","2025-12-15"
"SQL_STORED_PROCEDURE","RP_View_Spedizioni_220916","2021-03-24","2022-09-16"
"SQL_STORED_PROCEDURE","RP_View_Spedizioni_CSO","2021-11-25","2021-11-29"
"SQL_STORED_PROCEDURE","RP_View_Spedizioni_Distinta","2023-02-22","2023-12-15"
"SQL_STORED_PROCEDURE","RP_View_Spedizioni2","2021-07-28","2021-07-28"
"SQL_STORED_PROCEDURE","RP_View_SpedizioniCap","2021-06-03","2021-06-03"
"SQL_STORED_PROCEDURE","RP_View_SpedizioniConsegnate","2022-06-23","2022-10-24"
"SQL_STORED_PROCEDURE","RP_View_SpedizioniConsegnate_220623","2021-10-14","2022-06-23"
"SQL_STORED_PROCEDURE","RP_View_SpedizioniRacc","2022-09-09","2026-05-05"
"SQL_STORED_PROCEDURE","RP_View_SpedizioniRaccTnoT","2025-10-23","2025-10-23"
"SQL_STORED_PROCEDURE","RP_View_UtentiAttivita","2022-02-11","2024-10-04"
"SQL_STORED_PROCEDURE","RR_Crea","2024-04-03","2025-06-24"
